# CVS $Revision: $ $Author: $ -- Mon Mar 20 20:54:06 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Wizards of the Coast - Dragon Magazine #293	SOURCESHORT:WotC-Dragon #293	SOURCEWEB:http://www.wizards.com/default.asp?x=dragon

#Thunder Wolf
#Mist Wolf
#Sea Wolf
#Shard Wolf
#Magma Wolf
#Cloud Wolf

# Race Name					Level Adjustment
Spectre.MOD					LEVELADJUSTMENT:17
Sphinx (Androsphinx).MOD		LEVELADJUSTMENT:19
Sphinx (Criosphinx).MOD			LEVELADJUSTMENT:15
Sphinx (Gynosphinx).MOD			LEVELADJUSTMENT:17
Sphinx (Hieracosphinx).MOD		LEVELADJUSTMENT:14
Spider Eater.MOD				LEVELADJUSTMENT:9
Sprite (Grig).MOD				LEVELADJUSTMENT:6
Sprite (Nixie).MOD			LEVELADJUSTMENT:3
Sprite (Pixie).MOD			LEVELADJUSTMENT:5
Tarrasque.MOD				LEVELADJUSTMENT:80
Tendriculos.MOD				LEVELADJUSTMENT:16
Thoqqua.MOD					LEVELADJUSTMENT:7
Tiefling.MOD				LEVELADJUSTMENT:1
Titan.MOD					LEVELADJUSTMENT:30
Tojanida (Juvenile).MOD			LEVELADJUSTMENT:7
Tojanida (Adult).MOD			LEVELADJUSTMENT:11
Tojanida (Elder).MOD			LEVELADJUSTMENT:18
Treant.MOD					LEVELADJUSTMENT:13
Triton.MOD					LEVELADJUSTMENT:5
Troglodyte.MOD				LEVELADJUSTMENT:5
Troll.MOD					LEVELADJUSTMENT:11
Umber Hulk.MOD				LEVELADJUSTMENT:15
Unicorn.MOD					LEVELADJUSTMENT:9
Vampire Spawn.MOD				LEVELADJUSTMENT:12
Vargouille.MOD				LEVELADJUSTMENT:4
Wight.MOD					LEVELADJUSTMENT:9
Will-O'-Wisp.MOD				LEVELADJUSTMENT:19
Winter Wolf.MOD				LEVELADJUSTMENT:9
Worg.MOD					LEVELADJUSTMENT:6
Wraith.MOD					LEVELADJUSTMENT:15
Xill.MOD					LEVELADJUSTMENT:12
Yeth Hound.MOD				LEVELADJUSTMENT:8
Yrthak.MOD					LEVELADJUSTMENT:18
Yuan-ti (Pureblood).MOD			LEVELADJUSTMENT:12
Yuan-ti (Halfblood).MOD			LEVELADJUSTMENT:14
Yuan-ti (Abomination).MOD		LEVELADJUSTMENT:16
Zombie (Medium).MOD			LEVELADJUSTMENT:5
