# CVS $Revision: $ $Author: rax_the_grey $ -- Fri May  8 13:30:11 2009 -- reformated by prettylst.pl v1.39 (build 8180)
SOURCELONG:Rallanon Publishing Group - The Encyclopedia Rallanon	SOURCESHORT:EncRal	SOURCEWEB:http://raxstower.finzen.com

# Coin Name		Product Identity?	Type				Cost		Weight	Source Page
#Coin (Platinum)	NAMEISPI:YES	TYPE:Coin			COST:10	WT:.02	SOURCEPAGE:Chap.8, Economy
#Coin (Gold)	NAMEISPI:YES	TYPE:Coin			COST:1	WT:.02	SOURCEPAGE:Chap.8, Economy
#Coin (Electrum)	NAMEISPI:YES	TYPE:Coin			COST:.5	WT:.02	SOURCEPAGE:Chap.8, Economy
#Coin (Silver)	NAMEISPI:YES	TYPE:Coin			COST:.1	WT:.02	SOURCEPAGE:Chap.8, Economy
#Coin (Bronze)	NAMEISPI:YES	TYPE:Coin			COST:.02	WT:.02	SOURCEPAGE:Chap.8, Economy
#Coin (Copper)	NAMEISPI:YES	TYPE:Coin			COST:.01	WT:.02	SOURCEPAGE:Chap.8, Economy

# Coin Name		Product Identity?	Type				Cost		Weight	Source Page
# Algoria
# Equipment Name	Product Identity?	Type				Cost		Weight	Source Page
Ka-Mark		NAMEISPI:YES	TYPE:Coin.Algorian	COST:10	WT:0.02	SOURCEPAGE:Chap.8, Economy
Ardun			NAMEISPI:YES	TYPE:Coin			COST:0.5	WT:0.02	SOURCEPAGE:Chap.8, Economy
Arden			NAMEISPI:YES	TYPE:Coin			COST:0.1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Ardyn			NAMEISPI:YES	TYPE:Coin			COST:0.02	WT:0.02	SOURCEPAGE:Chap.8, Economy
Ardin			NAMEISPI:YES	TYPE:Coin			COST:0.01	WT:0.02	SOURCEPAGE:Chap.8, Economy

# Athega
Effri			NAMEISPI:YES	TYPE:Coin			COST:10	WT:0.02	SOURCEPAGE:Chap.8, Economy
Worz			NAMEISPI:YES	TYPE:Coin			COST:1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Parkan		NAMEISPI:YES	TYPE:Coin			COST:0.1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Belaris		NAMEISPI:YES	TYPE:Coin			COST:0.02	WT:0.02	SOURCEPAGE:Chap.8, Economy
Bokan			NAMEISPI:YES	TYPE:Coin			COST:0.01	WT:0.02	SOURCEPAGE:Chap.8, Economy

# Bellagon
Falton		NAMEISPI:YES	TYPE:Coin			COST:10	WT:0.02	SOURCEPAGE:Chap.8, Economy
Zanat			NAMEISPI:YES	TYPE:Coin			COST:1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Bantu			NAMEISPI:YES	TYPE:Coin			COST:0.5	WT:0.02	SOURCEPAGE:Chap.8, Economy
Ent			NAMEISPI:YES	TYPE:Coin			COST:0.1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Zish			NAMEISPI:YES	TYPE:Coin			COST:0.02	WT:0.02	SOURCEPAGE:Chap.8, Economy
Joal			NAMEISPI:YES	TYPE:Coin			COST:0.01	WT:0.02	SOURCEPAGE:Chap.8, Economy

# Bloodlands
Fanco			NAMEISPI:YES	TYPE:Coin.Bloodlandian	COST:10	WT:0.02	SOURCEPAGE:Chap.8, Economy
Haldan		NAMEISPI:YES	TYPE:Coin.Bloodlandian	COST:1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Olona			NAMEISPI:YES	TYPE:Coin.Bloodlandian	COST:0.1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Vaila			NAMEISPI:YES	TYPE:Coin.Bloodlandian	COST:0.01	WT:0.02	SOURCEPAGE:Chap.8, Economy

# Candon
Nalpot		NAMEISPI:YES	TYPE:Coin.Candonian	COST:10	WT:0.02	SOURCEPAGE:Chap.8, Economy
Celso			NAMEISPI:YES	TYPE:Coin.Candonian	COST:1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Mena			NAMEISPI:YES	TYPE:Coin.Candonian	COST:0.5	WT:0.02	SOURCEPAGE:Chap.8, Economy
Panlo			NAMEISPI:YES	TYPE:Coin.Candonian	COST:0.1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Egrin			NAMEISPI:YES	TYPE:Coin.Candonian	COST:0.02	WT:0.02	SOURCEPAGE:Chap.8, Economy
Gant			NAMEISPI:YES	TYPE:Coin.Candonian	COST:0.01	WT:0.02	SOURCEPAGE:Chap.8, Economy

# Dentros
Stel			NAMEISPI:YES	TYPE:Coin			COST:10	WT:0.02	SOURCEPAGE:Chap.8, Economy
Corp			NAMEISPI:YES	TYPE:Coin			COST:1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Paltum		NAMEISPI:YES	TYPE:Coin			COST:0.5	WT:0.02	SOURCEPAGE:Chap.8, Economy
Silvum		NAMEISPI:YES	TYPE:Coin			COST:0.1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Plairin		NAMEISPI:YES	TYPE:Coin			COST:0.02	WT:0.02	SOURCEPAGE:Chap.8, Economy
Eletum		NAMEISPI:YES	TYPE:Coin			COST:0.01	WT:0.02	SOURCEPAGE:Chap.8, Economy

# Haknaar
Telma			NAMEISPI:YES	TYPE:Coin			COST:10	WT:0.02	SOURCEPAGE:Chap.8, Economy
Demo			NAMEISPI:YES	TYPE:Coin			COST:1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Setwa			NAMEISPI:YES	TYPE:Coin			COST:0.1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Zhark			NAMEISPI:YES	TYPE:Coin			COST:0.02	WT:0.02	SOURCEPAGE:Chap.8, Economy
Galnga		NAMEISPI:YES	TYPE:Coin			COST:0.01	WT:0.02	SOURCEPAGE:Chap.8, Economy

# Kharsiris
Neldeum		NAMEISPI:YES	TYPE:Coin			COST:10	WT:0.02	SOURCEPAGE:Chap.8, Economy
Imrin			NAMEISPI:YES	TYPE:Coin			COST:1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Kathis		NAMEISPI:YES	TYPE:Coin			COST:0.1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Desh			NAMEISPI:YES	TYPE:Coin			COST:0.02	WT:0.02	SOURCEPAGE:Chap.8, Economy
Gaija			NAMEISPI:YES	TYPE:Coin			COST:0.01	WT:0.02	SOURCEPAGE:Chap.8, Economy

# Landorn
Dhent			NAMEISPI:YES	TYPE:Coin			COST:10	WT:0.02	SOURCEPAGE:Chap.8, Economy
Canir			NAMEISPI:YES	TYPE:Coin			COST:1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Telro			NAMEISPI:YES	TYPE:Coin			COST:0.5	WT:0.02	SOURCEPAGE:Chap.8, Economy
Lenf			NAMEISPI:YES	TYPE:Coin			COST:0.1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Vrish			NAMEISPI:YES	TYPE:Coin			COST:0.02	WT:0.02	SOURCEPAGE:Chap.8, Economy
Yarnot		NAMEISPI:YES	TYPE:Coin			COST:0.01	WT:0.02	SOURCEPAGE:Chap.8, Economy

# Mysidia
Tele			NAMEISPI:YES	TYPE:Coin			COST:1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Kines			NAMEISPI:YES	TYPE:Coin			COST:0.1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Creat			NAMEISPI:YES	TYPE:Coin			COST:0.02	WT:0.02	SOURCEPAGE:Chap.8, Economy
Sentin		NAMEISPI:YES	TYPE:Coin			COST:0.01	WT:0.02	SOURCEPAGE:Chap.8, Economy

# Pantorka
Dapolt		NAMEISPI:YES	TYPE:Coin			COST:10	WT:0.02	SOURCEPAGE:Chap.8, Economy
Salpolt		NAMEISPI:YES	TYPE:Coin			COST:1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Tapolt		NAMEISPI:YES	TYPE:Coin			COST:0.1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Bipolt		NAMEISPI:YES	TYPE:Coin			COST:0.02	WT:0.02	SOURCEPAGE:Chap.8, Economy
Polt			NAMEISPI:YES	TYPE:Coin			COST:0.01	WT:0.02	SOURCEPAGE:Chap.8, Economy

# Vrellgron
Noble			NAMEISPI:YES	TYPE:Coin			COST:1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Crown			NAMEISPI:YES	TYPE:Coin			COST:0.1	WT:0.02	SOURCEPAGE:Chap.8, Economy
Bite			NAMEISPI:YES	TYPE:Coin			COST:0.02	WT:0.02	SOURCEPAGE:Chap.8, Economy
Bit			NAMEISPI:YES	TYPE:Coin			COST:0.01	WT:0.02	SOURCEPAGE:Chap.8, Economy
