# CVS $Revision: 1.2 $ $Author: ericbeaudoin $ -- Mon Mar 20 20:54:06 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Wizards of the Coast - Dragon Magazine #247	SOURCESHORT:WotC-Dragon #247	SOURCEWEB:http://www.wizards.com/default.asp?x=dragon

#Name						TYPE				Cost		Weight
# Equipment Name				Type				Cost		Weight	Source Page		Special Property
Fitting Doll (Male or Female)		TYPE:Magic.Wondrous	COST:4000	WT:0		SOURCEPAGE:p.84	SPROP:When command word is spoken and the doll is touched the doll changes to the size of the person touching it, must be of same gender as doll
Fitting Doll (Gender Changing)	TYPE:Magic.Wondrous	COST:6000	WT:0		SOURCEPAGE:p.84	SPROP:When command word is spoken and the doll is touched the doll changes to the size of the person touching it, doll changes in gender as well as size
Easel of Pageturning			TYPE:Magic.Wondrous	COST:2500	WT:0		SOURCEPAGE:p.84	SPROP:Can be commanded to open a book to a specific page, skip one page foreward, skip one page back, or close the book, can not open locked or magical bound books
Changing Mold (Small)			TYPE:Magic.Wondrous	COST:5000	WT:0		SOURCEPAGE:p.84	SPROP:When commanded can change form to any type of appropriate item/weapon mold for a smith, can create a mold for a small weapon/item or 15 tiny items
Changing Mold (Medium)			TYPE:Magic.Wondrous	COST:9000	WT:0		SOURCEPAGE:p.84	SPROP:When commanded can change form to any type of appropriate item/weapon mold for a smith, can create a mold for a medium weapon/item, 3 small, 30 tiny items
Changing Mold (Large)			TYPE:Magic.Wondrous	COST:15000	WT:0		SOURCEPAGE:p.84	SPROP:When commanded can change form to any type of appropriate item/weapon mold for a smith, can create a mold for a Large weapon/item, 7 small, 70 tiny items
Mold of 1000 Candles			TYPE:Magic.Wondrous	COST:1500	WT:0		SOURCEPAGE:p.86	SPROP:This Candle mold automatically makes 1d2 candles a day, if wax is poured in 4d2 candles/day are made for 1 week. Candles dissappear within 48 hours of non-use
Pot of Metal Melting			TYPE:Magic.Wondrous	COST:4000	WT:0		SOURCEPAGE:p.86	SPROP:This large pot can melt 10lbs of metal/day of all types placed within after command word is spoken, Magical items get a saving throw, radiates no heat
Diamond Scales of Chalacha		TYPE:Magic.Wondrous	COST:6000	WT:0		SOURCEPAGE:p.86	SPROP:When a gem is placed on one side of the scales an illusion appears on other side of gold coins equal to the worth of the gem
Dan's Dough Doubler			TYPE:Magic.Wondrous	COST:2000	WT:0		SOURCEPAGE:p.86	SPROP:This large wooden plate doubles thie size of dough kneeded upon it's surface, can be used 5X/day for up to 10lbs of dough per use
Jerimiah's Box of Knife Sharpening	TYPE:Magic.Wondrous	COST:2000	WT:0		SOURCEPAGE:p.86	SPROP:18 in. long x 9 in. wide x 5 in. tall, Any blade placed inside over night (12 hours minimum) receives a +1attack or proficency bonus for the first 3 attacks/checks
Vial of Nalkor				TYPE:Magic.Wondrous	COST:10000	WT:0		SOURCEPAGE:p.86	SPROP:When a potion is poured into the vial the name of the potion appears on the outside with a 75% accuracy
