# CVS $Revision: 1.1 $ $Author: chrisc $ -- Fri May  8 08:59:10 2009 -- reformated by prettylst.pl v1.39 (build 8180)


#Domains
# Spell Name				Classes of caster		Domains granting the spell
Aid.MOD									DOMAINS:Arborea=2
Expeditious Retreat.MOD			CLASSES:Fatemaker=1
Haste.MOD					CLASSES:Fatemaker=3
Invisibility.MOD				CLASSES:Fatemaker=2
Jump.MOD					CLASSES:Fatemaker=1
Nondetection.MOD				CLASSES:Fatemaker=3
Owl's Wisdom.MOD				CLASSES:Fatemaker=2
Protection from Energy.MOD		CLASSES:Fatemaker=3
Remove Curse.MOD				CLASSES:Fatemaker=4
Resist Energy.MOD				CLASSES:Fatemaker=2
Restoration.MOD				CLASSES:Fatemaker=4
Sanctuary.MOD				CLASSES:Fatemaker=1
Spider Climb.MOD				CLASSES:Fatemaker=2
Stoneskin.MOD				CLASSES:Fatemaker=4
Tongues.MOD					CLASSES:Fatemaker=3
True Strike.MOD				CLASSES:Fatemaker=1
