# CVS $Revision: $ $Author: $ -- Tue Feb 24 11:55:36 2009 -- reformated by prettylst.pl v1.39 (build 8180)
SOURCELONG:The Divine and the Defeated	SOURCESHORT:DivineandDefeated	SOURCEWEB:http://www.swordsorcery.com

# Deity Name	Domains													Desciption of Deity/Title							Holy Item																					Deity Weapon					Alignment	Source Page
Drendari		DOMAINS:Entrancement,Shadow,Missionary|PREALIGN:TN,CG,CN,CE					DESC:The Mistress of Shadows							SYMBOL:A black silhouette of a human's left hand														DEITYWEAP:Sword (Short)				ALIGN:CN	SOURCEPAGE:p.95
Erias			DOMAINS:Dream,Magic,Missionary|PREALIGN:NG,CG,CN						DESC:The Dream Master								SYMBOL:A crescent moon surrounded by a ring of eight stars													DEITYWEAP:Dagger					ALIGN:CG	SOURCEPAGE:p.99
Goran			DOMAINS:Earth,Strength,Missionary|PREALIGN:LG,LN,NG						DESC:The Patron of Dwarves							SYMBOL:Two silver axes turned handle to handle, one blade up, one down, both axe heads facing outward on a reddish earthen circle	DEITYWEAP:Greataxe				ALIGN:LG	SOURCEPAGE:p.104
Hwyrdd		DOMAINS:Luck,Protection,Trickery,Missionary|PREALIGN:LN,NG,TN,NE,CN			DESC:The Halfling God								SYMBOL:An acorn																				DEITYWEAP:Sword (Short)				ALIGN:TN	SOURCEPAGE:p.110
Idra			DOMAINS:Entrancement,Secrets,Missionary|PREALIGN:TN,CG,CN,CE				DESC:The Goddess of Sex								SYMBOL:A grail with a dagger resting in it, point down													DEITYWEAP:Whip|Dagger				ALIGN:CN	SOURCEPAGE:p.113
Manawe		DOMAINS:Chaos,Water,Missionary|PREALIGN:TN,CG,CN,CE						DESC:Mother of the Oceans, Queen of Sirens, the Lady of the Deeps	SYMBOL:The seaclaw																			DEITYWEAP:Longspear|Javelin			ALIGN:CN	SOURCEPAGE:p.119
Nalthalos		DOMAINS:Constructs,Missionary|PREALIGN:LN,LE,NE							DESC:The Patron God of Dark Elves						SYMBOL:A stylized black serpent, laid horizontal, its body rising and falling in waves								DEITYWEAP:Unarmed					ALIGN:LE	SOURCEPAGE:p.125
Nemorga		DOMAINS:Death,Gateways,Knowledge,Travel,Missionary|PREALIGN:LN,NG,TN,NE,CN		DESC:The Gatekeeper, the Executioner, the Grey King			SYMBOL:A closed book with a sheathed sword closed in it, bookmark style											DEITYWEAP:Longsword				ALIGN:TN	SOURCEPAGE:p.130
Sethris		DOMAINS:Death,Vengeance,Missionary|PREALIGN:LE,TN,NE,CE					DESC:The Spider Queen								SYMBOL:The silhouette of a curved silver dagger on a black circle, covered in a silver spiderweb						DEITYWEAP:Longsword|Longbow			ALIGN:NE	SOURCEPAGE:p.135
Syhana		DOMAINS:Air,Fey,Rainbow,Missionary|PREALIGN:LG,NG,TN,CG					DESC:The Cloudmaiden, the Lady of Color					SYMBOL:A rainbow																				DEITYWEAP:Rapier					ALIGN:NG	SOURCEPAGE:p.139

#Aspharal		Plants,Missionary							0346		Demigod of Flowers								A multicolored collection of wild flowers
##The Beastlords
#D'shan
#Fraelhia
#Imal Wheatsheaf
#Katashama
#Laathsaal
#Luchanig
#Otossal
#Tamul
#Trelu
#Volskalka

