# CVS $Revision: 1.1 $ $Author: chrisc $ -- Fri May  8 08:59:10 2009 -- reformated by prettylst.pl v1.39 (build 8180)


# MOD entries for new classes

# Spell Name				Classes of caster
Detect Poison.MOD				CLASSES:Healer=0
Mending.MOD					CLASSES:Healer=0
Purify Food and Drink.MOD		CLASSES:Healer=0
Read Magic.MOD				CLASSES:Healer=0
Bless Water.MOD				CLASSES:Healer=1
Cure Light Wounds.MOD			CLASSES:Healer=1
Goodberry.MOD				CLASSES:Healer=1
Protection from Evil.MOD		CLASSES:Healer=1
Remove Fear.MOD				CLASSES:Healer=1
Remove Paralysis.MOD			CLASSES:Healer=1
Sanctuary.MOD				CLASSES:Healer=1
Speak with Animals.MOD			CLASSES:Healer=1
Calm Emotions.MOD				CLASSES:Healer=2
Cure Moderate Wounds.MOD		CLASSES:Healer=2
Delay Poison.MOD				CLASSES:Healer=2
Gentle Repose.MOD				CLASSES:Healer=2
Remove Blindness/Deafness.MOD		CLASSES:Healer=2
Remove Disease.MOD			CLASSES:Healer=2
Restoration (Lesser).MOD		CLASSES:Healer=2
Create Food and Water.MOD		CLASSES:Healer=3
Cure Serious Wounds.MOD			CLASSES:Healer=3
Neutralize Poison.MOD			CLASSES:Healer=3
Remove Curse.MOD				CLASSES:Healer=3
Restoration.MOD				CLASSES:Healer=3
Status.MOD					CLASSES:Healer=3
Cure Critical Wounds.MOD		CLASSES:Healer=4
Death Ward.MOD				CLASSES:Healer=4
Freedom of Movement.MOD			CLASSES:Healer=4
Cure Light Wounds (Mass).MOD		CLASSES:Healer=4
Atonement.MOD				CLASSES:Healer=5
Break Enchantment.MOD			CLASSES:Healer=5
Cure Moderate Wounds (Mass).MOD	CLASSES:Healer=5
Raise Dead.MOD				CLASSES:Healer=5
Stone to Flesh.MOD			CLASSES:Healer=5
True Seeing.MOD				CLASSES:Healer=5
Restoration (Greater).MOD		CLASSES:Healer=6
Heal.MOD					CLASSES:Healer=6
Heroes' Feast.MOD				CLASSES:Healer=6
Cure Serious Wounds (Mass).MOD	CLASSES:Healer=6
Regenerate.MOD				CLASSES:Healer=6
Cure Critical Wounds (Mass).MOD	CLASSES:Healer=7
Repulsion.MOD				CLASSES:Healer=7
Resurrection.MOD				CLASSES:Healer=7
Discern Location.MOD			CLASSES:Healer=8
Holy Aura.MOD				CLASSES:Healer=8
Heal (Mass).MOD				CLASSES:Healer=8
Foresight.MOD				CLASSES:Healer=9
Gate.MOD					CLASSES:Healer=9
True Resurrection.MOD			CLASSES:Healer=9
